ToolID,ToolName,ToolType,Diameter_mm,Flutes,CutLength_mm,Shank_mm,RPM,Feed_mm_per_min,Stepover_pct,Material,Notes
0c9acb06-80bd-4f63-9e9f-8a10d8e06a7d,"Roundover - 3/8"" Rad 1"" Dia x 1/2"" Deep",8,25.4,2,,,10000,60,0.15,Acrylic,
105887a5-c687-4889-910b-db6f3f756d09,{Tool Type} ({Included Angle|.0}° - {Diameter|F}{Units Short}),6,6,2,,,14000,0,,Acrylic,
12160df4-39ed-4e12-a9fd-608d969ef55a,{Tool Type} ({Diameter|F}{Units Short}),0,1.5,2,,,18000,22860,0.12,Acrylic,
180b267f-7fc9-4b08-8c5b-27df0a1780ee,{Tool Type} ({Included Angle|.0}° - {Diameter|F}{Units Short}),3,12.7,2,,,14000,30,0.01,Acrylic,
18dec22f-ba8b-4702-a482-aa8e3f6a32a0,{Tool Type} ({Included Angle|.0}° - {Diameter|F}{Units Short}),6,3,2,,,14000,0,,Acrylic,
21f9d7eb-be55-43c7-b6b5-9457bbb6e1d3,{Tool Type} ({Diameter|F}{Units Short}),1,6,2,,,10000,76200,2.4000000000000004,Acrylic,
23e8ebfb-3db6-413f-ba21-700661995a1d,{Tool Type} ({Included Angle|.0}° - {Diameter|F}{Units Short} - {Line Width}{Units Short} Line Width),9,3.175,,,,0,50,0.0125,Acrylic,
26212541-0e45-4ff7-8ccd-fb203b58fe6c,{Tool Type} ({Included Angle|.0}° - {Diameter|F}{Units Short}),6,3.175,2,,,10000,,,Acrylic,
28e3245a-79fe-4e18-94d6-23b7c1eac9f5,"Ogee - 1/4"" Rads 1 1/4"" Dia 1/2"" Deep",8,31.75,2,,,10000,60,0.1875,Acrylic,
44230771-834e-47a8-b2f2-d1c8de39d683,"{Tool Type} ({Side Angle|.0}°, Tip {Flat Diameter} - {Diameter|F}{Units Short})",4,6.35,1,,,10000,70,0.0019999999552965165,Acrylic,
4622bec3-4406-415b-87e1-2ebd21075dcc,{Tool Type} ({Diameter|F}{Units Short}),1,0.79375,2,,,18000,25,0.0078125,Acrylic,
